Entity,Date,Value
MT_001,2014-11-02,30.774111675126854
MT_001,2014-11-03,38.388324873096416
MT_001,2014-11-04,46.95431472081218
MT_001,2014-11-05,49.17512690355328
MT_001,2014-11-06,42.51269035532993
MT_001,2014-11-07,44.416243654822296
MT_001,2014-11-08,41.87817258883247
MT_001,2014-11-09,42.1954314720812
MT_001,2014-11-10,53.93401015228425
MT_001,2014-11-11,51.078680203045685
MT_001,2014-11-12,78.68020304568526
MT_001,2014-11-13,45.05076142131978
MT_001,2014-11-14,41.56091370558372
MT_001,2014-11-15,36.48477157360402
MT_001,2014-11-16,41.87817258883246
MT_001,2014-11-17,50.12690355329948
MT_001,2014-11-18,53.93401015228426
MT_001,2014-11-19,53.61675126903553
MT_001,2014-11-20,48.2233502538071
MT_001,2014-11-21,48.22335025380707
MT_001,2014-11-22,35.850253807106554
MT_001,2014-11-23,35.85025380710655
MT_001,2014-11-24,56.4720812182741
MT_001,2014-11-25,58.37563451776649
MT_001,2014-11-26,55.20304568527921
MT_001,2014-11-27,58.37563451776651
MT_001,2014-11-28,57.74111675126903
MT_001,2014-11-29,54.25126903553299
MT_001,2014-11-30,44.73350253807104
MT_001,2014-12-01,51.078680203045685
MT_001,2014-12-02,64.4035532994924
MT_001,2014-12-03,56.47208121827413
MT_001,2014-12-04,42.51269035532995
MT_001,2014-12-05,36.16751269035531
MT_001,2014-12-06,41.243654822335
MT_001,2014-12-07,51.713197969543145
MT_001,2014-12-08,50.761421319796966
MT_001,2014-12-09,55.52030456852791
MT_001,2014-12-10,42.829949238578656
MT_001,2014-12-11,45.05076142131979
MT_001,2014-12-12,64.72081218274114
MT_001,2014-12-13,48.85786802030457
MT_001,2014-12-14,47.2715736040609
MT_001,2014-12-15,51.71319796954315
MT_001,2014-12-16,58.37563451776651
MT_001,2014-12-17,61.23096446700509
MT_001,2014-12-18,53.61675126903554
MT_001,2014-12-19,59.3274111675127
MT_001,2014-12-20,26.96700507614209
MT_001,2014-12-21,21.57360406091365
MT_001,2014-12-22,59.644670050761405
MT_001,2014-12-23,62.50000000000001
MT_001,2014-12-24,42.51269035532992
MT_001,2014-12-25,37.75380710659893
MT_001,2014-12-26,53.29949238578679
MT_001,2014-12-27,52.98223350253809
MT_001,2014-12-28,56.78934010152287
MT_001,2014-12-29,62.18274111675128
MT_001,2014-12-30,58.05837563451777
MT_001,2014-12-31,57.4238578680203
MT_002,2014-11-02,580.9032716927453
MT_002,2014-11-03,557.9658605974395
MT_002,2014-11-04,555.1209103840682
MT_002,2014-11-05,556.7211948790895
MT_002,2014-11-06,547.6529160739685
MT_002,2014-11-07,552.0981507823614
MT_002,2014-11-08,554.0540540540541
MT_002,2014-11-09,557.0768136557609
MT_002,2014-11-10,548.00853485064
MT_002,2014-11-11,554.9431009957324
MT_002,2014-11-12,556.7211948790897
MT_002,2014-11-13,549.7866287339971
MT_002,2014-11-14,543.3854907539119
MT_002,2014-11-15,555.2987197724041
MT_002,2014-11-16,568.8122332859174
MT_002,2014-11-17,560.9886201991465
MT_002,2014-11-18,551.5647226173542
MT_002,2014-11-19,563.122332859175
MT_002,2014-11-20,565.4338549075392
MT_002,2014-11-21,586.2375533428162
MT_002,2014-11-22,554.4096728307255
MT_002,2014-11-23,559.3883357041251
MT_002,2014-11-24,570.9459459459457
MT_002,2014-11-25,548.5419630156472
MT_002,2014-11-26,538.7624466571834
MT_002,2014-11-27,554.0540540540541
MT_002,2014-11-28,547.6529160739689
MT_002,2014-11-29,575.9246088193455
MT_002,2014-11-30,570.4125177809389
MT_002,2014-12-01,561.1664295874822
MT_002,2014-12-02,555.8321479374112
MT_002,2014-12-03,552.0981507823612
MT_002,2014-12-04,550.3200568990043
MT_002,2014-12-05,546.4082503556186
MT_002,2014-12-06,547.6529160739686
MT_002,2014-12-07,538.2290184921764
MT_002,2014-12-08,562.2332859174963
MT_002,2014-12-09,553.520625889047
MT_002,2014-12-10,557.4324324324326
MT_002,2014-12-11,568.4566145092463
MT_002,2014-12-12,533.9615931721194
MT_002,2014-12-13,535.7396870554766
MT_002,2014-12-14,546.9416785206258
MT_002,2014-12-15,546.4082503556186
MT_002,2014-12-16,528.4495021337127
MT_002,2014-12-17,546.7638691322902
MT_002,2014-12-18,542.4964438122332
MT_002,2014-12-19,542.3186344238976
MT_002,2014-12-20,547.1194879089617
MT_002,2014-12-21,544.4523470839258
MT_002,2014-12-22,550.6756756756756
MT_002,2014-12-23,544.0967283072545
MT_002,2014-12-24,564.900426742532
MT_002,2014-12-25,544.4523470839258
MT_002,2014-12-26,543.3854907539119
MT_002,2014-12-27,536.4509246088193
MT_002,2014-12-28,532.8947368421052
MT_002,2014-12-29,553.1650071123755
MT_002,2014-12-30,551.3869132290184
MT_002,2014-12-31,568.2788051209103
MT_003,2014-11-02,37.79322328410085
MT_003,2014-11-03,40.18245004344056
MT_003,2014-11-04,41.26846220677678
MT_003,2014-11-05,41.70286707211128
MT_003,2014-11-06,41.48566463944403
MT_003,2014-11-07,40.83405734144228
MT_003,2014-11-08,44.309296264118224
MT_003,2014-11-09,37.79322328410085
MT_003,2014-11-10,40.18245004344056
MT_003,2014-11-11,41.26846220677678
MT_003,2014-11-12,41.70286707211128
MT_003,2014-11-13,41.48566463944403
MT_003,2014-11-14,40.83405734144228
MT_003,2014-11-15,44.309296264118224
MT_003,2014-11-16,37.79322328410085
MT_003,2014-11-17,40.18245004344056
MT_003,2014-11-18,41.26846220677678
MT_003,2014-11-19,41.70286707211128
MT_003,2014-11-20,41.48566463944403
MT_003,2014-11-21,40.83405734144228
MT_003,2014-11-22,44.309296264118224
MT_003,2014-11-23,37.79322328410085
MT_003,2014-11-24,40.18245004344056
MT_003,2014-11-25,41.26846220677678
MT_003,2014-11-26,41.70286707211128
MT_003,2014-11-27,41.48566463944403
MT_003,2014-11-28,40.83405734144228
MT_003,2014-11-29,44.309296264118224
MT_003,2014-11-30,37.79322328410085
MT_003,2014-12-01,40.18245004344056
MT_003,2014-12-02,41.26846220677678
MT_003,2014-12-03,41.70286707211128
MT_003,2014-12-04,41.48566463944403
MT_003,2014-12-05,40.83405734144228
MT_003,2014-12-06,44.309296264118224
MT_003,2014-12-07,37.79322328410085
MT_003,2014-12-08,40.18245004344056
MT_003,2014-12-09,41.26846220677678
MT_003,2014-12-10,41.70286707211128
MT_003,2014-12-11,41.48566463944403
MT_003,2014-12-12,40.83405734144228
MT_003,2014-12-13,44.309296264118224
MT_003,2014-12-14,37.79322328410085
MT_003,2014-12-15,40.18245004344056
MT_003,2014-12-16,41.26846220677678
MT_003,2014-12-17,41.70286707211128
MT_003,2014-12-18,41.48566463944403
MT_003,2014-12-19,40.83405734144228
MT_003,2014-12-20,44.309296264118224
MT_003,2014-12-21,37.79322328410085
MT_003,2014-12-22,40.18245004344056
MT_003,2014-12-23,41.26846220677678
MT_003,2014-12-24,41.70286707211128
MT_003,2014-12-25,0.4344048653344925
MT_003,2014-12-26,40.39965247610779
MT_003,2014-12-27,44.309296264118224
MT_003,2014-12-28,37.79322328410085
MT_003,2014-12-29,40.18245004344056
MT_003,2014-12-30,41.26846220677678
MT_003,2014-12-31,41.70286707211128
MT_004,2014-11-02,2703.760162601626
MT_004,2014-11-03,2737.2967479674803
MT_004,2014-11-04,2668.6991869918693
MT_004,2014-11-05,2763.211382113821
MT_004,2014-11-06,2917.174796747967
MT_004,2014-11-07,2860.772357723577
MT_004,2014-11-08,3263.719512195121
MT_004,2014-11-09,3175.30487804878
MT_004,2014-11-10,3036.5853658536603
MT_004,2014-11-11,2966.463414634147
